date,close,volume,open,high,low
2018/03/01,175,48706170,178.54,179.775,172.66
2018/03/02,176.21,38426060,172.8,176.3,172.45
2018/03/05,176.82,27825140,175.21,177.74,174.52
2018/03/06,176.67,23273160,177.91,178.25,176.13
2018/03/07,175.03,31686450,174.94,175.85,174.27
2018/03/08,176.94,24518850,175.48,177.12,175.07
2018/03/09,179.98,32130360,177.96,180,177.39
2018/03/12,181.72,32191070,180.29,182.39,180.21
2018/03/13,179.97,31464170,182.59,183.5,179.24
2018/03/14,178.44,29334630,180.32,180.52,177.81
2018/03/15,178.65,22676520,178.5,180.24,178.0701
2018/03/16,178.02,38313330,178.65,179.12,177.62
2018/03/19,175.3,32931110,177.32,177.47,173.66
2018/03/20,175.24,19620520,175.24,176.8,174.94
2018/03/21,171.27,36387880,175.04,175.09,171.26
2018/03/22,168.85,41335980,170,172.68,168.6
2018/03/23,164.94,40984540,168.39,169.92,164.94
2018/03/26,172.77,36778560,168.07,173.1,166.44
2018/03/27,168.34,39824200,173.68,175.15,166.92
2018/03/28,166.48,41464880,167.25,170.02,165.19
2018/03/29,167.78,38116290,167.805,171.75,166.9
